CustId,AccountLocation,Title,FirstName,LastName,CreateDate,CountryCode,Language,Status,DateOfBirth,Contact,CustomerGroup
4188499,GIB,Mr,Elvis,Presley,1/11/2011,US,en,A,18/10/1948,Y,Bronze
1191874,GIB,Mr,Jim,Morrison,19/9/2008,US,en,A,27/7/1967,Y,Gold
3042166,GIB,Mr,Keith,Moon,11/1/2011,UK ,en,A,26/7/1970,Y,Gold
5694730,GIB,Mr,James,Hendrix,10/10/2012,US,en,A,5/4/1976,N,Bronze
4704925,GIB,Mr,Marc,Bolan,26/3/2012,UK ,en,A,11/3/1982,Y,Bronze
1569944,GIB,Miss,Janice,Joplin,9/4/2009,US,en,A,22/8/1954,Y,Gold
3531845,GIB,Mr,Bon,Scott,2/4/2011,AU,en,A,22/10/1975,N,Silver
2815836,GIB,Mr,Buddy,Holly,17/10/2010,US,en,A,13/1/1964,Y,Silver
889782,GIB,Mr,Bob,Marley,16/1/2008,UK ,en,A,18/4/1964,Y,Silver
1965214,GIB,Mr,Sidney,Vicious,18/12/2009,UK ,en,A,12/8/1976,N,Bronze
